------------------Value Iteration------------------
Value Function:

beta = 0.100000
(A-9, unoccupied, unparked):Park
(A-8, unoccupied, unparked):Park
(A-7, unoccupied, unparked):Park
(A-6, unoccupied, unparked):Park
(A-5, unoccupied, unparked):Park
(A-4, unoccupied, unparked):Park
(A-3, unoccupied, unparked):Park
(A-2, unoccupied, unparked):Park
(A-1, unoccupied, unparked):Drive
(B-1, unoccupied, unparked):Drive
(B-2, unoccupied, unparked):Park
(B-3, unoccupied, unparked):Park
(B-4, unoccupied, unparked):Park
(B-5, unoccupied, unparked):Park
(B-6, unoccupied, unparked):Park
(B-7, unoccupied, unparked):Park
(B-8, unoccupied, unparked):Park
(B-9, unoccupied, unparked):Park
(B-10, unoccupied, unparked):Park
(A-10, occupied, unparked):Drive
(A-9, occupied, unparked):Drive
(A-8, occupied, unparked):Drive
(A-7, occupied, unparked):Drive
(A-6, occupied, unparked):Drive
(A-5, occupied, unparked):Drive
(A-4, occupied, unparked):Drive
(A-3, occupied, unparked):Drive
(A-2, occupied, unparked):Drive
(A-1, occupied, unparked):Drive
(B-1, occupied, unparked):Drive
(B-2, occupied, unparked):Drive
(B-3, occupied, unparked):Drive
(B-4, occupied, unparked):Drive
(B-5, occupied, unparked):Drive
(B-6, occupied, unparked):Drive
(B-7, occupied, unparked):Drive
(B-8, occupied, unparked):Drive
(B-9, occupied, unparked):Drive
(B-10, occupied, unparked):Drive
terminal(-, -, Parked) : None


beta = 0.999000
(A-10, unoccupied, unparked):Park
(A-9, unoccupied, unparked):Park
(A-8, unoccupied, unparked):Park
(A-7, unoccupied, unparked):Park
(A-6, unoccupied, unparked):Park
(A-5, unoccupied, unparked):Park
(A-4, unoccupied, unparked):Park
(A-3, unoccupied, unparked):Park
(A-2, unoccupied, unparked):Park
(A-1, unoccupied, unparked):Drive
(B-1, unoccupied, unparked):Drive
(B-2, unoccupied, unparked):Park
(B-3, unoccupied, unparked):Park
(B-4, unoccupied, unparked):Park
(B-5, unoccupied, unparked):Park
(B-6, unoccupied, unparked):Park
(B-7, unoccupied, unparked):Park
(B-8, unoccupied, unparked):Park
(B-9, unoccupied, unparked):Park
(B-10, unoccupied, unparked):Park
(A-10, occupied, unparked):Drive
(A-9, occupied, unparked):Drive
(A-8, occupied, unparked):Drive
(A-7, occupied, unparked):Drive
(A-6, occupied, unparked):Drive
(A-5, occupied, unparked):Drive
(A-4, occupied, unparked):Drive
(A-3, occupied, unparked):Drive
(A-2, occupied, unparked):Drive
(A-1, occupied, unparked):Drive
(B-1, occupied, unparked):Drive
(B-2, occupied, unparked):Drive
(B-3, occupied, unparked):Drive
(B-4, occupied, unparked):Drive
(B-5, occupied, unparked):Drive
(B-6, occupied, unparked):Drive
(B-7, occupied, unparked):Drive
(B-8, occupied, unparked):Drive
(B-9, occupied, unparked):Drive
(B-10, occupied, unparked):Drive
terminal(-, -, Parked) : None


------------------Policy Iteration------------------
Value Function:

beta = 0.100000
(A-10, unoccupied, unparked):22.2222
(A-9, unoccupied, unparked):44.4444
(A-8, unoccupied, unparked):66.6667
(A-7, unoccupied, unparked):88.8889
(A-6, unoccupied, unparked):111.1111
(A-5, unoccupied, unparked):133.3333
(A-4, unoccupied, unparked):155.5556
(A-3, unoccupied, unparked):177.7778
(A-2, unoccupied, unparked):200.0000
(A-1, unoccupied, unparked):-33.0277
(B-1, unoccupied, unparked):-30.2769
(B-2, unoccupied, unparked):200.0000
(B-3, unoccupied, unparked):177.7778
(B-4, unoccupied, unparked):155.5556
(B-5, unoccupied, unparked):133.3333
(B-6, unoccupied, unparked):111.1111
(B-7, unoccupied, unparked):88.8889
(B-8, unoccupied, unparked):66.6667
(B-9, unoccupied, unparked):44.4444
(B-10, unoccupied, unparked):22.2222
(A-10, occupied, unparked):-26.3312
(A-9, occupied, unparked):-25.3681
(A-8, occupied, unparked):-24.9058
(A-7, occupied, unparked):-24.9625
(A-6, occupied, unparked):-25.5588
(A-5, occupied, unparked):-26.7115
(A-4, occupied, unparked):-28.4406
(A-3, occupied, unparked):-30.7383
(A-2, occupied, unparked):-33.3028
(A-1, occupied, unparked):-33.0277
(B-1, occupied, unparked):-30.2769
(B-2, occupied, unparked):-28.1119
(B-3, occupied, unparked):-26.5128
(B-4, occupied, unparked):-25.4600
(B-5, occupied, unparked):-24.9341
(B-6, occupied, unparked):-24.9204
(B-7, occupied, unparked):-25.4003
(B-8, occupied, unparked):-26.3579
(B-9, occupied, unparked):-27.7778
(B-10, occupied, unparked):-27.7778
terminal(-, -, Parked) : 0.0000


beta = 0.900000
(A-10, unoccupied, unparked):22.2222
(A-9, unoccupied, unparked):44.4444
(A-8, unoccupied, unparked):66.6667
(A-7, unoccupied, unparked):88.8889
(A-6, unoccupied, unparked):111.1111
(A-5, unoccupied, unparked):133.3333
(A-4, unoccupied, unparked):155.5556
(A-3, unoccupied, unparked):177.7778
(A-2, unoccupied, unparked):200.0000
(A-1, unoccupied, unparked):-13.9555
(B-1, unoccupied, unparked):17.8272
(B-2, unoccupied, unparked):200.0000
(B-3, unoccupied, unparked):177.7778
(B-4, unoccupied, unparked):155.5556
(B-5, unoccupied, unparked):133.3333
(B-6, unoccupied, unparked):111.1111
(B-7, unoccupied, unparked):88.8889
(B-8, unoccupied, unparked):66.6667
(B-9, unoccupied, unparked):44.4444
(B-10, unoccupied, unparked):22.2222
(A-10, occupied, unparked):7.9003
(A-9, occupied, unparked):23.4456
(A-8, occupied, unparked):33.8915
(A-7, occupied, unparked):35.1884
(A-6, occupied, unparked):24.0734
(A-5, occupied, unparked):1.4908
(A-4, occupied, unparked):-25.2842
(A-3, occupied, unparked):-44.0504
(A-2, occupied, unparked):-42.5600
(A-1, occupied, unparked):-13.9555
(B-1, occupied, unparked):17.8272
(B-2, occupied, unparked):34.7860
(B-3, occupied, unparked):41.7617
(B-4, occupied, unparked):41.8307
(B-5, occupied, unparked):37.0025
(B-6, occupied, unparked):28.6092
(B-7, occupied, unparked):17.5791
(B-8, occupied, unparked):4.5561
(B-9, occupied, unparked):-10.0000
(B-10, occupied, unparked):-10.0000
terminal(-, -, Parked) : 0.0000


beta = 0.999000
(A-10, unoccupied, unparked):22.2222
(A-9, unoccupied, unparked):44.4444
(A-8, unoccupied, unparked):66.6667
(A-7, unoccupied, unparked):88.8889
(A-6, unoccupied, unparked):111.1111
(A-5, unoccupied, unparked):133.3333
(A-4, unoccupied, unparked):155.5556
(A-3, unoccupied, unparked):177.7778
(A-2, unoccupied, unparked):200.0000
(A-1, unoccupied, unparked):11.2945
(B-1, unoccupied, unparked):41.3358
(B-2, unoccupied, unparked):200.0000
(B-3, unoccupied, unparked):177.7778
(B-4, unoccupied, unparked):155.5556
(B-5, unoccupied, unparked):133.3333
(B-6, unoccupied, unparked):111.1111
(B-7, unoccupied, unparked):88.8889
(B-8, unoccupied, unparked):66.6667
(B-9, unoccupied, unparked):44.4444
(B-10, unoccupied, unparked):22.2222
(A-10, occupied, unparked):13.0037
(A-9, occupied, unparked):31.8643
(A-8, occupied, unparked):45.3324
(A-7, occupied, unparked):48.4415
(A-6, occupied, unparked):37.7739
(A-5, occupied, unparked):15.4579
(A-4, occupied, unparked):-9.5145
(A-3, occupied, unparked):-24.4230
(A-2, occupied, unparked):-18.7168
(A-1, occupied, unparked):11.2945
(B-1, occupied, unparked):41.3358
(B-2, occupied, unparked):55.3349
(B-3, occupied, unparked):59.0359
(B-4, occupied, unparked):55.9147
(B-5, occupied, unparked):48.1414
(B-6, occupied, unparked):37.0979
(B-7, occupied, unparked):23.7108
(B-8, occupied, unparked):8.6014
(B-9, occupied, unparked):-7.8000
(B-10, occupied, unparked):-7.8000
terminal(-, -, Parked) : 0.0000



Policy Function:

beta = 0.100000
(A-10, unoccupied, unparked):Park
(A-9, unoccupied, unparked):Park
(A-8, unoccupied, unparked):Park
(A-7, unoccupied, unparked):Park
(A-6, unoccupied, unparked):Park
(A-5, unoccupied, unparked):Park
(A-4, unoccupied, unparked):Park
(A-3, unoccupied, unparked):Park
(A-2, unoccupied, unparked):Park
(A-1, unoccupied, unparked):Drive
(B-1, unoccupied, unparked):Drive
(B-2, unoccupied, unparked):Park
(B-3, unoccupied, unparked):Park
(B-4, unoccupied, unparked):Park
(B-5, unoccupied, unparked):Park
(B-6, unoccupied, unparked):Park
(B-7, unoccupied, unparked):Park
(B-8, unoccupied, unparked):Park
(B-9, unoccupied, unparked):Park
(B-10, unoccupied, unparked):Park
(A-10, occupied, unparked):Drive
(A-9, occupied, unparked):Drive
(A-8, occupied, unparked):Drive
(A-7, occupied, unparked):Drive
(A-6, occupied, unparked):Drive
(A-5, occupied, unparked):Drive
(A-4, occupied, unparked):Drive
(A-3, occupied, unparked):Drive
(A-2, occupied, unparked):Drive
(A-1, occupied, unparked):Drive
(B-1, occupied, unparked):Drive
(B-2, occupied, unparked):Drive
(B-3, occupied, unparked):Drive
(B-4, occupied, unparked):Drive
(B-5, occupied, unparked):Drive
(B-6, occupied, unparked):Drive
(B-7, occupied, unparked):Drive
(B-8, occupied, unparked):Drive
(B-9, occupied, unparked):Drive
(B-10, occupied, unparked):Drive
terminal(-, -, Parked) : None


beta = 0.900000
(A-10, unoccupied, unparked):Park
(A-9, unoccupied, unparked):Park
(A-8, unoccupied, unparked):Park
(A-7, unoccupied, unparked):Park
(A-6, unoccupied, unparked):Park
(A-5, unoccupied, unparked):Park
(A-4, unoccupied, unparked):Park
(A-3, unoccupied, unparked):Park
(A-2, unoccupied, unparked):Park
(A-1, unoccupied, unparked):Drive
(B-1, unoccupied, unparked):Drive
(B-2, unoccupied, unparked):Park
(B-3, unoccupied, unparked):Park
(B-4, unoccupied, unparked):Park
(B-5, unoccupied, unparked):Park
(B-6, unoccupied, unparked):Park
(B-7, unoccupied, unparked):Park
(B-8, unoccupied, unparked):Park
(B-9, unoccupied, unparked):Park
(B-10, unoccupied, unparked):Park
(A-10, occupied, unparked):Drive
(A-9, occupied, unparked):Drive
(A-8, occupied, unparked):Drive
(A-7, occupied, unparked):Drive
(A-6, occupied, unparked):Drive
(A-5, occupied, unparked):Drive
(A-4, occupied, unparked):Drive
(A-3, occupied, unparked):Drive
(A-2, occupied, unparked):Drive
(A-1, occupied, unparked):Drive
(B-1, occupied, unparked):Drive
(B-2, occupied, unparked):Drive
(B-3, occupied, unparked):Drive
(B-4, occupied, unparked):Drive
(B-5, occupied, unparked):Drive
(B-6, occupied, unparked):Drive
(B-7, occupied, unparked):Drive
(B-8, occupied, unparked):Drive
(B-9, occupied, unparked):Drive
(B-10, occupied, unparked):Drive
terminal(-, -, Parked) : None


beta = 0.999000
(A-10, unoccupied, unparked):Park
(A-9, unoccupied, unparked):Park
(A-8, unoccupied, unparked):Park
(A-7, unoccupied, unparked):Park
(A-6, unoccupied, unparked):Park
(A-5, unoccupied, unparked):Park
(A-4, unoccupied, unparked):Park
(A-3, unoccupied, unparked):Park
(A-2, unoccupied, unparked):Park
(A-1, unoccupied, unparked):Drive
(B-1, unoccupied, unparked):Drive
(B-2, unoccupied, unparked):Park
(B-3, unoccupied, unparked):Park
(B-4, unoccupied, unparked):Park
(B-5, unoccupied, unparked):Park
(B-6, unoccupied, unparked):Park
(B-7, unoccupied, unparked):Park
(B-8, unoccupied, unparked):Park
(B-9, unoccupied, unparked):Park
(B-10, unoccupied, unparked):Park
(A-10, occupied, unparked):Drive
(A-9, occupied, unparked):Drive
(A-8, occupied, unparked):Drive
(A-7, occupied, unparked):Drive
(A-6, occupied, unparked):Drive
(A-5, occupied, unparked):Drive
(A-4, occupied, unparked):Drive
(A-3, occupied, unparked):Drive
(A-2, occupied, unparked):Drive
(A-1, occupied, unparked):Drive
(B-1, occupied, unparked):Drive
(B-2, occupied, unparked):Drive
(B-3, occupied, unparked):Drive
(B-4, occupied, unparked):Drive
(B-5, occupied, unparked):Drive
(B-6, occupied, unparked):Drive
(B-7, occupied, unparked):Drive
(B-8, occupied, unparked):Drive
(B-9, occupied, unparked):Drive
(B-10, occupied, unparked):Drive
terminal(-, -, Parked) : None


------------------Modified Policy Iteration------------------
Value Function:

beta = 0.100000
(A-10, unoccupied, unparked):22.2222
(A-9, unoccupied, unparked):44.4444
(A-8, unoccupied, unparked):66.6667
(A-7, unoccupied, unparked):88.8889
(A-6, unoccupied, unparked):111.1111
(A-5, unoccupied, unparked):133.3333
(A-4, unoccupied, unparked):155.5556
(A-3, unoccupied, unparked):177.7778
(A-2, unoccupied, unparked):200.0000
(A-1, unoccupied, unparked):-33.0277
(B-1, unoccupied, unparked):-30.2769
(B-2, unoccupied, unparked):200.0000
(B-3, unoccupied, unparked):177.7778
(B-4, unoccupied, unparked):155.5556
(B-5, unoccupied, unparked):133.3333
(B-6, unoccupied, unparked):111.1111
(B-7, unoccupied, unparked):88.8889
(B-8, unoccupied, unparked):66.6667
(B-9, unoccupied, unparked):44.4444
(B-10, unoccupied, unparked):22.2222
(A-10, occupied, unparked):-26.3312
(A-9, occupied, unparked):-25.3681
(A-8, occupied, unparked):-24.9058
(A-7, occupied, unparked):-24.9625
(A-6, occupied, unparked):-25.5588
(A-5, occupied, unparked):-26.7115
(A-4, occupied, unparked):-28.4406
(A-3, occupied, unparked):-30.7383
(A-2, occupied, unparked):-33.3028
(A-1, occupied, unparked):-33.0277
(B-1, occupied, unparked):-30.2769
(B-2, occupied, unparked):-28.1119
(B-3, occupied, unparked):-26.5128
(B-4, occupied, unparked):-25.4600
(B-5, occupied, unparked):-24.9341
(B-6, occupied, unparked):-24.9204
(B-7, occupied, unparked):-25.4003
(B-8, occupied, unparked):-26.3579
(B-9, occupied, unparked):-27.7778
(B-10, occupied, unparked):-27.7778
terminal(-, -, Parked) : 0.0000


beta = 0.900000
(A-10, unoccupied, unparked):22.2222
(A-9, unoccupied, unparked):44.4444
(A-8, unoccupied, unparked):66.6667
(A-7, unoccupied, unparked):88.8889
(A-6, unoccupied, unparked):111.1111
(A-5, unoccupied, unparked):133.3333
(A-4, unoccupied, unparked):155.5556
(A-3, unoccupied, unparked):177.7778
(A-2, unoccupied, unparked):200.0000
(A-1, unoccupied, unparked):-13.9555
(B-1, unoccupied, unparked):17.8272
(B-2, unoccupied, unparked):200.0000
(B-3, unoccupied, unparked):177.7778
(B-4, unoccupied, unparked):155.5556
(B-5, unoccupied, unparked):133.3333
(B-6, unoccupied, unparked):111.1111
(B-7, unoccupied, unparked):88.8889
(B-8, unoccupied, unparked):66.6667
(B-9, unoccupied, unparked):44.4444
(B-10, unoccupied, unparked):22.2222
(A-10, occupied, unparked):7.9003
(A-9, occupied, unparked):23.4456
(A-8, occupied, unparked):33.8915
(A-7, occupied, unparked):35.1884
(A-6, occupied, unparked):24.0734
(A-5, occupied, unparked):1.4908
(A-4, occupied, unparked):-25.2842
(A-3, occupied, unparked):-44.0504
(A-2, occupied, unparked):-42.5600
(A-1, occupied, unparked):-13.9555
(B-1, occupied, unparked):17.8272
(B-2, occupied, unparked):34.7860
(B-3, occupied, unparked):41.7617
(B-4, occupied, unparked):41.8307
(B-5, occupied, unparked):37.0025
(B-6, occupied, unparked):28.6092
(B-7, occupied, unparked):17.5791
(B-8, occupied, unparked):4.5561
(B-9, occupied, unparked):-10.0000
(B-10, occupied, unparked):-10.0000
terminal(-, -, Parked) : 0.0000


beta = 0.999000
(A-10, unoccupied, unparked):22.2222
(A-9, unoccupied, unparked):44.4444
(A-8, unoccupied, unparked):66.6667
(A-7, unoccupied, unparked):88.8889
(A-6, unoccupied, unparked):111.1111
(A-5, unoccupied, unparked):133.3333
(A-4, unoccupied, unparked):155.5556
(A-3, unoccupied, unparked):177.7778
(A-2, unoccupied, unparked):200.0000
(A-1, unoccupied, unparked):11.2945
(B-1, unoccupied, unparked):41.3358
(B-2, unoccupied, unparked):200.0000
(B-3, unoccupied, unparked):177.7778
(B-4, unoccupied, unparked):155.5556
(B-5, unoccupied, unparked):133.3333
(B-6, unoccupied, unparked):111.1111
(B-7, unoccupied, unparked):88.8889
(B-8, unoccupied, unparked):66.6667
(B-9, unoccupied, unparked):44.4444
(B-10, unoccupied, unparked):22.2222
(A-10, occupied, unparked):13.0037
(A-9, occupied, unparked):31.8643
(A-8, occupied, unparked):45.3324
(A-7, occupied, unparked):48.4415
(A-6, occupied, unparked):37.7739
(A-5, occupied, unparked):15.4579
(A-4, occupied, unparked):-9.5145
(A-3, occupied, unparked):-24.4230
(A-2, occupied, unparked):-18.7168
(A-1, occupied, unparked):11.2945
(B-1, occupied, unparked):41.3358
(B-2, occupied, unparked):55.3349
(B-3, occupied, unparked):59.0359
(B-4, occupied, unparked):55.9147
(B-5, occupied, unparked):48.1414
(B-6, occupied, unparked):37.0979
(B-7, occupied, unparked):23.7108
(B-8, occupied, unparked):8.6014
(B-9, occupied, unparked):-7.8000
(B-10, occupied, unparked):-7.8000
terminal(-, -, Parked) : 0.0000



Policy Function:

beta = 0.100000
(A-10, unoccupied, unparked):Park
(A-9, unoccupied, unparked):Park
(A-8, unoccupied, unparked):Park
(A-7, unoccupied, unparked):Park
(A-6, unoccupied, unparked):Park
(A-5, unoccupied, unparked):Park
(A-4, unoccupied, unparked):Park
(A-3, unoccupied, unparked):Park
(A-2, unoccupied, unparked):Park
(A-1, unoccupied, unparked):Drive
(B-1, unoccupied, unparked):Drive
(B-2, unoccupied, unparked):Park
(B-3, unoccupied, unparked):Park
(B-4, unoccupied, unparked):Park
(B-5, unoccupied, unparked):Park
(B-6, unoccupied, unparked):Park
(B-7, unoccupied, unparked):Park
(B-8, unoccupied, unparked):Park
(B-9, unoccupied, unparked):Park
(B-10, unoccupied, unparked):Park
(A-10, occupied, unparked):Drive
(A-9, occupied, unparked):Drive
(A-8, occupied, unparked):Drive
(A-7, occupied, unparked):Drive
(A-6, occupied, unparked):Drive
(A-5, occupied, unparked):Drive
(A-4, occupied, unparked):Drive
(A-3, occupied, unparked):Drive
(A-2, occupied, unparked):Drive
(A-1, occupied, unparked):Drive
(B-1, occupied, unparked):Drive
(B-2, occupied, unparked):Drive
(B-3, occupied, unparked):Drive
(B-4, occupied, unparked):Drive
(B-5, occupied, unparked):Drive
(B-6, occupied, unparked):Drive
(B-7, occupied, unparked):Drive
(B-8, occupied, unparked):Drive
(B-9, occupied, unparked):Drive
(B-10, occupied, unparked):Drive
terminal(-, -, Parked) : None


beta = 0.900000
(A-10, unoccupied, unparked):Park
(A-9, unoccupied, unparked):Park
(A-8, unoccupied, unparked):Park
(A-7, unoccupied, unparked):Park
(A-6, unoccupied, unparked):Park
(A-5, unoccupied, unparked):Park
(A-4, unoccupied, unparked):Park
(A-3, unoccupied, unparked):Park
(A-2, unoccupied, unparked):Park
(A-1, unoccupied, unparked):Drive
(B-1, unoccupied, unparked):Drive
(B-2, unoccupied, unparked):Park
(B-3, unoccupied, unparked):Park
(B-4, unoccupied, unparked):Park
(B-5, unoccupied, unparked):Park
(B-6, unoccupied, unparked):Park
(B-7, unoccupied, unparked):Park
(B-8, unoccupied, unparked):Park
(B-9, unoccupied, unparked):Park
(B-10, unoccupied, unparked):Park
(A-10, occupied, unparked):Drive
(A-9, occupied, unparked):Drive
(A-8, occupied, unparked):Drive
(A-7, occupied, unparked):Drive
(A-6, occupied, unparked):Drive
(A-5, occupied, unparked):Drive
(A-4, occupied, unparked):Drive
(A-3, occupied, unparked):Drive
(A-2, occupied, unparked):Drive
(A-1, occupied, unparked):Drive
(B-1, occupied, unparked):Drive
(B-2, occupied, unparked):Drive
(B-3, occupied, unparked):Drive
(B-4, occupied, unparked):Drive
(B-5, occupied, unparked):Drive
(B-6, occupied, unparked):Drive
(B-7, occupied, unparked):Drive
(B-8, occupied, unparked):Drive
(B-9, occupied, unparked):Drive
(B-10, occupied, unparked):Drive
terminal(-, -, Parked) : None


beta = 0.999000
(A-10, unoccupied, unparked):Park
(A-9, unoccupied, unparked):Park
(A-8, unoccupied, unparked):Park
(A-7, unoccupied, unparked):Park
(A-6, unoccupied, unparked):Park
(A-5, unoccupied, unparked):Park
(A-4, unoccupied, unparked):Park
(A-3, unoccupied, unparked):Park
(A-2, unoccupied, unparked):Park
(A-1, unoccupied, unparked):Drive
(B-1, unoccupied, unparked):Drive
(B-2, unoccupied, unparked):Park
(B-3, unoccupied, unparked):Park
(B-4, unoccupied, unparked):Park
(B-5, unoccupied, unparked):Park
(B-6, unoccupied, unparked):Park
(B-7, unoccupied, unparked):Park
(B-8, unoccupied, unparked):Park
(B-9, unoccupied, unparked):Park
(B-10, unoccupied, unparked):Park
(A-10, occupied, unparked):Drive
(A-9, occupied, unparked):Drive
(A-8, occupied, unparked):Drive
(A-7, occupied, unparked):Drive
(A-6, occupied, unparked):Drive
(A-5, occupied, unparked):Drive
(A-4, occupied, unparked):Drive
(A-3, occupied, unparked):Drive
(A-2, occupied, unparked):Drive
(A-1, occupied, unparked):Drive
(B-1, occupied, unparked):Drive
(B-2, occupied, unparked):Drive
(B-3, occupied, unparked):Drive
(B-4, occupied, unparked):Drive
(B-5, occupied, unparked):Drive
(B-6, occupied, unparked):Drive
(B-7, occupied, unparked):Drive
(B-8, occupied, unparked):Drive
(B-9, occupied, unparked):Drive
(B-10, occupied, unparked):Drive
terminal(-, -, Parked) : None

